sha256,pkg_name,apk_size,dex_date,markets
026B17623B702272C4D6A966CA2510ACFF9743093B0064F26D2132A5BB5A2863,org.primftpd,3686707,1980-01-01 00:00:00,fdroid
0330D6937D21915CDC3C0701386CA877CDECFA2589845A7FEE15A13195F7BEB8,de.srlabs.gsmmap,65935,2013-12-31 15:23:52,fdroid
0A2680FB095930086434C353BA08BA04F43A4826C1E9428079DD942275097790,io.github.gsantner.memetastic,2880193,1980-01-01 00:00:00,fdroid
0C702CE6CC13C0744E6C2BDA81AA65A71E6BEF8C968C836CDCCBB2009F78B3D5,org.nuntius35.wrongpinshutdown,864930,1980-01-01 00:00:00,fdroid
0FD83689E3FF6927E40688A1729CAD319A9454A2608418AB9EAB3FF5950AD9B2,com.grarak.kerneladiutor,2924972,2016-02-23 07:39:12,fdroid
117DF5D0714AD822AEDA4FADD8AA095E08397490735D51EADFD76A7E150821C7,fr.ralala.hexviewer,9176870,1981-01-01 01:01:02,fdroid
1BA5AB43B724F103DD60BA9F99486AD278BA4169A0B7E0C640C968D159A85FED,souch.smp,183852,2015-02-19 06:54:16,fdroid
1E821246E406110AC12C773901175A75EB875FB5EC13481692CDAD03DF2351A1,jackpal.androidterm,515602,2014-06-04 13:11:34,fdroid
1EF94E20D2B2BF0CDE70D8D83CC27DB6A5A811AE83E8E256F53E3C3E45C3F4C1,io.github.sds100.keymapper,2784356,1980-01-01 00:00:00,fdroid
2091B1337256C6222F04B7979F9780866282D3ED69E4DE9F7D4A95F58CC7169B,com.example.spokennumbers,3885665,1980-01-01 00:00:00,fdroid
245381A2B71FF5202675DAF84E1D7698CE0648CAA067A1210DEF44B23EFD2012,net.yolosec.routerkeygen2,2050405,1980-01-01 00:00:00,fdroid
2551C68EC22DD8BDC91E1EA7BCDA7BF1BC1F2D1868DB96C7BCCA9029028B6A9B,com.simplemobiletools.gallery,1609156,1980-01-01 00:00:00,fdroid
293CC09AE601226FF654CCB56E31AE8393109FF77D5BA1B816A47C5F392426B3,com.termux.api,68971,1980-01-01 00:00:00,fdroid
2F0C26F74BC9A628703933E13D921DD047F9A30F57326F9568CBB63636F44612,org.adaway,2815841,2014-09-04 05:42:18,fdroid
3000C9FD85D8B4E9B3B4574045CDB5C6F20C769887DD1DE36B4E2BBB3613B342,com.achep.acdisplay,3124418,2015-08-01 05:11:12,fdroid
307253B96BA4A7B055E0E0447EE24514A51AB6578E4624E3101FF78DF1A17869,com.example.ismael.downloadfilesweb,1153444,2015-09-16 07:41:52,fdroid
31C91187F299426CD04D3779ABF1D7D03089E0F07CCB6B63EA7DC8D19401F6AF,ryey.flock,52522,2016-08-02 05:40:12,fdroid
356C8DC7397A5EBB232E67844E65C037443B23E5C9A6B3E47E57CC367B3E5658,io.github.lonamiwebs.klooni,2763289,1980-01-01 00:00:00,fdroid
35977DCD6A0D288CC7495E4D51F4ACA9590DAD95C0A232180630870E7AB83E60,com.dririan.RingyDingyDingy,83465,2012-08-10 09:55:42,fdroid
39372ABCD65D305D4A67168CACDC4CB8B13D51B201F0104961C5B95A50327B2D,ru.zxalexis.ugaday,276622,2014-08-20 05:53:02,fdroid
3DAC4A5212B491A196169DDC03AB268210F07CDFB62B14ED19BFADED510E970D,com.darshancomputing.BatteryIndicatorPro,2068013,1980-01-01 00:00:00,fdroid
3DEAF1DCAD5C86EC765C4AECED3DED76EC4368C58F5C8F7C83CA165CCB8CB977,io.tiph.smsspammer,938755,2014-12-02 06:42:00,fdroid
3F9143B0DDCC5763BF06FBEDC265D5F9490EB71462B802232E32204500F5F9D9,com.pierreduchemin.smsforward,4379101,1980-01-01 00:00:00,fdroid
40411D6CD945C942759AFE262C1E9259D5FECC3A209B95487D3D70E0A4F92FD8,libretasks.app,194654,2016-04-20 07:24:42,fdroid
44B1D8FC9FE6603E0F550FCF4ECA19B92889491F229AF6ACAD6F31CB32C7F41C,com.primokorn.enhancement,7772562,2016-05-30 13:16:20,fdroid
4AAE43024A33BFA5AA35D09E809BC01A0563706A02360137E8265416B1D37E58,io.timelimit.android.open,3415306,1981-01-01 01:01:02,fdroid
4B462453B1332C3ED9BCDA44D701EEFF05A46373F952EF1FE5DB3D8AA58E462C,org.csploit.android,3647404,2016-01-18 20:54:50,fdroid
4EA7FE623D6E3920F920335191CD23ADAF2533D5BD10CEF10A7A5A80473DA79E,app.easytoken,1024784,2014-12-25 07:07:14,fdroid
4F03630B5BAC4EC9E1D4A66DFF4569FB6F0C01B63DA27152C7D31E0FB979EA35,org.yaaic,973841,2017-08-22 23:06:58,fdroid
55D6A2058DC1554CB43E0364AB5E6818FEF433BDB000F07949B700BA5CF06FDE,com.example.trigger,2635263,1980-01-01 00:00:00,fdroid
59389E9EC8F2B4235313F045DC1B4459BBC557DE70E63AC3AB9EDB212818FC06,com.github.axet.audiorecorder,6235784,1980-01-01 00:00:00,fdroid
5D1BC338A1693E6DA41CBFCAB0A88F1D0F8C6AE2E1F0344DB3BC619D8D4D52CE,tranquvis.simplesmsremote,3235722,1981-01-01 01:01:02,fdroid
